Image	Name	Price	Description	Metadata
https://ipfs.infura.io/ipfs/Qma7j5WqUmnncJeAJnUZr92z8HLyR8o2Y5KgxPDiFepjF8	Crusty Demons Club #1		Crusty Demons Club NFT Collection packed with incredible utility including access to FREE tickets to all Crusty Demons events	https://ipfs.infura.io/ipfs/QmNsjs8zZWrutALPbX5FU8GcZ2FGr5JG6ySBzQG2kNRuUA/metadata1.json
https://ipfs.infura.io/ipfs/Qmd48TtWAYTZYVZCkfgXLmaTdD3T1tdU2dyYbtYFRjvyZt	Crusty Demons Club #2		Crusty Demons Club NFT Collection packed with incredible utility including access to FREE tickets to all Crusty Demons events	https://ipfs.infura.io/ipfs/QmZ9LuHAaAc2WGgLF5oei1DLXjx6Ee5BrbMq54xBFB9Dqf/metadata2.json
https://ipfs.infura.io/ipfs/QmTgTstBo7QrawjiQVLzjGaYquqjU91qNqDMfJHzVzizZj	Crusty Demons Club #3		Crusty Demons Club NFT Collection packed with incredible utility including access to FREE tickets to all Crusty Demons events	https://ipfs.infura.io/ipfs/QmdLnWNbjSXaphtHcUVqYmj14JcVKGRxsN7h2NaKGT76Tj/metadata3.json
https://ipfs.infura.io/ipfs/QmcgHNv2b69CZkFjchN8NHAF5rp2bQiFPrLRA2c5X46AUJ	Crusty Demons Club #4		Crusty Demons Club NFT Collection packed with incredible utility including access to FREE tickets to all Crusty Demons events	https://ipfs.infura.io/ipfs/Qmdg8N8DVmmkykarN2CR62XKHNXgGTCMZxKH67XUDDzc9G/metadata4.json
https://ipfs.infura.io/ipfs/QmZPbWWsf1dU711d37wUjuAxTy5AqkjtYbinUNrTZxfWNW	Crusty Demons Club #5		Crusty Demons Club NFT Collection packed with incredible utility including access to FREE tickets to all Crusty Demons events	https://ipfs.infura.io/ipfs/QmTjHSbHMgi7hweUQFyzeaoShtxEDEjwkF4GKBMNAYwghc/metadata5.json
https://ipfs.infura.io/ipfs/QmVyZeVybYugttLbCNjmc8XGp5UTFXXbMJw9AVY7163dUW	Crusty Demons Club #6		Crusty Demons Club NFT Collection packed with incredible utility including access to FREE tickets to all Crusty Demons events	https://ipfs.infura.io/ipfs/QmfTPLkdfxHkmJexngHKb4Cnr64VutomfhzYDV3E1zsJzv/metadata6.json
https://ipfs.infura.io/ipfs/Qmf7LcGwp7b393wG2ZAETxNs28Cw32S9dLx89Uofsnstsf	Crusty Demons Club #7		Crusty Demons Club NFT Collection packed with incredible utility including access to FREE tickets to all Crusty Demons events	https://ipfs.infura.io/ipfs/Qme6tHygez3HemhLXVkbwxqMkFxzb8ep6SnB2GrmUumH9o/metadata7.json
https://ipfs.infura.io/ipfs/Qmao8rTQNJMWZfHn7Z7fFCSZuTRH6zJrF2EUi1GkGrsacM	Crusty Demons Club #8		Crusty Demons Club NFT Collection packed with incredible utility including access to FREE tickets to all Crusty Demons events	https://ipfs.infura.io/ipfs/QmbcVPzpoLC5Yo1rS9r1ZPcG9JMpQ3wqvFaPmH1mJfmZph/metadata8.json
https://ipfs.infura.io/ipfs/QmURmEJ8zdPLKiSQZps9zxVXeufmLfiCDxx7X1E5iin3jU	Crusty Demons Club #9		Crusty Demons Club NFT Collection packed with incredible utility including access to FREE tickets to all Crusty Demons events	https://ipfs.infura.io/ipfs/QmSnEvn5hJtU31edHuo7ML3UKWoekJ3HqbYP7T97frNdMu/metadata9.json
